codigo latitud longitud elevacion anio mes chirps ideam
26055050 3.23333333333333 -76.5833333333333 1010 1987 12 111.671073913574 94.4
26055050 3.23333333333333 -76.5833333333333 1010 1988 1 72.669319152832 60.6
26055050 3.23333333333333 -76.5833333333333 1010 1988 2 109.588890075684 136.9
26055050 3.23333333333333 -76.5833333333333 1010 1988 3 70.7585754394531 55
26055050 3.23333333333333 -76.5833333333333 1010 1988 4 307.379486083984 296.5
26055050 3.23333333333333 -76.5833333333333 1010 1988 5 179.113662719727 269.5
26055050 3.23333333333333 -76.5833333333333 1010 1988 6 166.440399169922 147.8
26055050 3.23333333333333 -76.5833333333333 1010 1988 7 109.573822021484 92.3
26055050 3.23333333333333 -76.5833333333333 1010 1988 8 116.394622802734 155.7
26055050 3.23333333333333 -76.5833333333333 1010 1988 9 143.884429931641 101
